x, y,
-12184196, 5406062,
-12184370, 5405944,
-12184438, 5405867,
-12184606, 5405605,
-12184912, 5405360,
-12185207, 5405279,
-12185466, 5405304,
-12185674, 5405399,
-12185802, 5405574,
-12185862, 5405777,
-12185874, 5406594,
-12185982, 5407279,
-12186066, 5407639,
-12186238, 5407920,
-12186616, 5408348,
-12186926, 5408584,
-12187168, 5408654,
-12187394, 5408591,
-12187620, 5408467,
-12187933, 5408228,
-12188115, 5408183,
-12188236, 5408217,
-12188451, 5408445,
-12188831, 5408707,
-12189029, 5408934,
-12189226, 5409215,
-12189500, 5409908,
-12189539, 5410524,
-12189538, 5410805,
-12189606, 5410998,
-12189692, 5411051,
-12189822, 5411067,
-12190135, 5410977,
-12190422, 5410773,
-12190735, 5410482,
-12190858, 5410226,
-12190834, 5409893,
-12190766, 5409620,
-12190449, 5408866,
-12190081, 5408164,
-12189763, 5407736,
-12189281, 5407264,
-12188806, 5406931,
-12188479, 5406652,
-12188342, 5406371,
-12188352, 5406134,
-12188440, 5405948,
-12188631, 5405755,
-12188987, 5405542,
-12189195, 5405541,
-12189437, 5405628,
-12189714, 5405599,
-12190095, 5405518,
-12190468, 5405534,
-12190882, 5405664,
-12191237, 5405680,
-12191549, 5405661,
-12191653, 5405598,
-12191749, 5405448,
-12191959, 5405044,
-12192089, 5404981,
-12192245, 5404962,
-12192331, 5405015,
-12192555, 5405321,
-12192589, 5405426,
-12193451, 5406195,
-12193899, 5406712,
-12194689, 5408026,
-12195232, 5408567,
-12195396, 5408759,
-12195464, 5408988,
-12195463, 5409120,
-12195367, 5409278,
-12195046, 5409544,
-12194958, 5409694,
-12194949, 5409896,
-12195000, 5410045,
-12195276, 5410326,
-12195353, 5410519,
-12195344, 5410678,
-12195265, 5410773,
-12195152, 5410836,
-12194953, 5410838,
-12194814, 5410865,
-12194744, 5410971,
-12194744, 5411076,
-12194821, 5411198,
-12195011, 5411321,
-12195574, 5411503,
-12195989, 5411580,
-12196726, 5411601,
-12197194, 5411510,
-12197490, 5411262,
-12197708, 5411023,
-12197996, 5410442,
-12198188, 5410203,
-12198423, 5410070,
-12198864, 5410085,
-12199116, 5410048,
-12199359, 5409923,
-12199707, 5409605,
-12200003, 5409225,
-12200194, 5409101,
-12200420, 5409038,
-12200602, 5409064,
-12200749, 5409167,
-12200826, 5409316,
-12200843, 5409448,
-12200790, 5409642,
-12200494, 5410119,
-12200493, 5410339,
-12200553, 5410400,
-12200709, 5410425,
-12201073, 5410422,
-12201391, 5410511,
-12201775, 5410517,
-12204208, 5410132,
-12205488, 5409787,
-12207014, 5409264,
-12208895, 5409234,
-12210521, 5409990,
-12211302, 5410490,
-12212152, 5410503,
-12212765, 5410086,
-12213857, 5410103,
-12214376, 5409853,
-12214754, 5409609,
-12216339, 5410311,
-12217323, 5412097,
-12218009, 5412481,
-12218665, 5413222,
-12219137, 5414143,
-12219673, 5414882,
-12220515, 5415443,
-12221780, 5416070,
-12222934, 5416087,
-12223734, 5415307,
-12224055, 5414093,
-12224863, 5412825,
-12226333, 5411871,
-12227734, 5411526,
-12229496, 5411367,
-12230049, 5410888,
-12230065, 5409670,
-12230028, 5407965,
-12229743, 5406621,
-12229602, 5406125,
-12228599, 5405619,
-12227705, 5404676,
-12228089, 5402528,
-12226837, 5402443,
-12223803, 5402349,
-12222859, 5402164,
-12221174, 5401337,
-12218536, 5399896,
-12218497, 5399683,
-12217843, 5399209,
-12217000, 5398831,
-12215553, 5398323,
-12214051, 5397448,
-12212791, 5396638,
-12211841, 5395407,
-12211136, 5393998,
-12209756, 5393186,
-12208022, 5391760,
-12207624, 5390113,
-12205838, 5388261,
-12201491, 5383877,
-12196003, 5382811,
-12192765, 5381176,
-12191565, 5380609,
-12189967, 5378638,
-12189332, 5376988,
-12188686, 5375884,
-12188104, 5374660,
-12186617, 5373298,
-12185049, 5369873,
-12184586, 5368773,
-12184068, 5367369,
-12183786, 5366273,
-12183706, 5366062,
-12182601, 5364684,
-12180316, 5362751,
-12178263, 5361219,
-12176321, 5359844,
-12175148, 5359576,
-12174128, 5357476,
-12173877, 5357036,
-12173591, 5356624,
-12173432, 5356432,
-12173260, 5356250,
-12172888, 5355907,
-12171895, 5355097,
-12171516, 5354756,
-12171165, 5354389,
-12170325, 5353434,
-12169966, 5353078,
-12169574, 5352760,
-12167278, 5351159,
-12166884, 5350842,
-12166522, 5350492,
-12166186, 5350114,
-12165869, 5349716,
-12165121, 5348684,
-12164839, 5348263,
-12164175, 5347180,
-12163743, 5346553,
-12163277, 5345952,
-12162319, 5344769,
-12161242, 5343349,
-12160912, 5342969,
-12160735, 5342790,
-12160536, 5342628,
-12160316, 5342490,
-12160083, 5342383,
-12159841, 5342314,
-12159318, 5342241,
-12158210, 5342192,
-12157694, 5342142,
-12157461, 5342094,
-12157250, 5342025,
-12157065, 5341930,
-12156924, 5341792,
-12156850, 5341588,
-12156829, 5341336,
-12156843, 5341051,
-12156958, 5339937,
-12157131, 5338933,
-12157174, 5338421,
-12157172, 5338161,
-12157129, 5337915,
-12157033, 5337688,
-12156900, 5337466,
-12156740, 5337259,
-12156558, 5337078,
-12156359, 5336930,
-12156143, 5336802,
-12155450, 5336475,
-12155007, 5336228,
-12154619, 5335906,
-12154256, 5335548,
-12153509, 5334864,
-12152653, 5333928,
-12152179, 5333335,
-12151442, 5332304,
-12150609, 5331033,
-12150121, 5330143,
-12149726, 5329491,
-12149498, 5329040,
-12149050, 5327855,
-12148711, 5326897,
-12148398, 5325931,
-12148121, 5324958,
-12147984, 5324211,
-12147780, 5322701,
-12147664, 5322209,
-12147524, 5321719,
-12147362, 5321236,
-12147078, 5320533,
-12146960, 5320312,
-12146485, 5319715,
-12146343, 5319503,
-12145815, 5318615,
-12145665, 5318419,
-12145496, 5318248,
-12145275, 5318153,
-12144755, 5318067,
